DEBUG 2024-06-21 16:44:21,420 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/views/generic/list.py first seen with mtime 1718910845.3011315
DEBUG 2024-06-21 16:44:21,420 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_sqlite3.cpython-313-darwin.so first seen with mtime 1717606951.0
DEBUG 2024-06-21 16:44:21,421 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/core/files/utils.py first seen with mtime 1718910845.1540096
DEBUG 2024-06-21 16:44:21,421 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/email/encoders.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,421 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_bisect.cpython-313-darwin.so first seen with mtime 1717606945.0
DEBUG 2024-06-21 16:44:21,421 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/core/checks/__init__.py first seen with mtime 1718910845.145903
DEBUG 2024-06-21 16:44:21,421 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django_filters/constants.py first seen with mtime 1719000932.0189538
DEBUG 2024-06-21 16:44:21,421 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/conf/locale/__init__.py first seen with mtime 1718910843.745464
DEBUG 2024-06-21 16:44:21,421 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/importlib/metadata/_adapters.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,421 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/repuestos/repuestos/__init__.py first seen with mtime 1718910336.5412192
DEBUG 2024-06-21 16:44:21,421 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/_colorize.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,422 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/conf/urls/__init__.py first seen with mtime 1718910843.895587
DEBUG 2024-06-21 16:44:21,422 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/opcode.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,422 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/contrib/auth/__init__.py first seen with mtime 1718910844.2557404
DEBUG 2024-06-21 16:44:21,422 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_pickle.cpython-313-darwin.so first seen with mtime 1717606949.0
DEBUG 2024-06-21 16:44:21,422 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/db/migrations/operations/models.py first seen with mtime 1718910845.203511
DEBUG 2024-06-21 16:44:21,422 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/contrib/staticfiles/checks.py first seen with mtime 1718910845.1334758
DEBUG 2024-06-21 16:44:21,422 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/core/checks/translation.py first seen with mtime 1718910845.148793
DEBUG 2024-06-21 16:44:21,422 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/entities.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,422 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/db/models/lookups.py first seen with mtime 1718910845.20856
DEBUG 2024-06-21 16:44:21,422 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/urls/conf.py first seen with mtime 1718910845.2763433
